"Data Source","World Development Indicators",

"Last Updated Date","2018-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.226795464091","222.914551607444","273.06072874494","250.718453683443","161.10365649111","196.364237744868","272.496033970682","249.69816162245","180.566748019893","220.119232863385","315.211777507007","373.397243858598","389.796605789906","393.812799826252","410.724326227937","176.093036357418","67.2237327350648","429.368462600974","","","","","","",
"Afghanistan","AFG","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","25.4752050325286","27.6923073559639","31.8292676457466","25.9615356964045","23.4999986944445","19.370861483049","13.9285717602041","11.474103006619","13.543688991658","14.7634065907711","11.4358472703868","13.161423148605","17.9247919850871","18.1730776453403","21.9432995572431","23.9577469962706","21.599999906087","21.4672680092128","21.6969689810428","24.3108298247178","41.4913453439416","45.4181180712708","","","","","","","","","","","","","","","","","","","","71.6587889869913","61.8094165666895","48.9784956963827","46.9589653497896","45.4933311530307","44.777129810018","35.3114143762408","34.9336692110354","29.9502916649011","34.7794650037404","38.4314500567747","46.2487923199116","44.7555928364573","40.1031731341013","43.1643369199639","36.6253370300404","",
"Angola","AGO","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","54.54416","36.17328","51.92616","58.16448","43.41392","54.7336533333333","39.2536738541667","101.032816120873","98.9924000154894","110.165362141245","101.397892329088","94.7990515839151","99.4197800338891","87.2298450955539","134.34265432221","120.06009267421","108.694390515385","96.7245313706315","105.631500956465","98.3002326757775","114.976022439629","97.2488801053791","96.0434012354639","100.852915256792","84.0982837766284","81.5581730028061","84.0781096763039","82.1590450775322","75.7152692313986","69.2162166386486","52.3237106488666","41.7940455224534","",
"Albania","ALB","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.0251596209807","44.7695692167076","42.2861240929117","56.5488460031542","37.7554460715742","37.7603783935446","34.6327367827962","33.2717049784946","38.7680833359848","44.0853704651559","37.1121614757861","40.2414937410642","41.5611570030643","40.2314557187419","39.8421560757341","40.154200382478","42.8794991554411","49.201795594572","51.2790089682715","46.8326991979069","49.8916434970653","56.9914707294998","55.6037716426863","56.6140645523405","57.9095970195117","55.1372331398698","55.894919745598","",
"Andorra","AND","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","46.25858823473","44.0904531096736","35.061369483517","41.1006529442688","39.0835389548846","37.3205850231391","38.871625094206","33.6793591842389","37.9902332984891","37.9331768689825","40.0162998916009","41.9921115389675","41.9889282719844","50.9793542993515","72.057397303936","67.7547875814297","65.4373766837135","66.902685071185","65.0391812564155","67.885323021306","73.0274318853271","74.5756065503872","68.2393876753238","59.5054483671218","55.0816659892504","49.8064414508981","41.8661035729031","42.3038689967291","47.8627851448816","50.3741424618919","41.4090523213745","54.8038548769087","56.1838638048363","54.0490917325246","54.3032370292592","57.0921892797525","58.9425403933855","56.836741423023","51.5258012084003","50.4187814194009","56.5180679156207","55.6992591181556","58.2641958191571","63.0115859360155","71.9605577077136","76.503651571443","76.5395242438779","79.3111945316543","84.5108518939549","73.9911623769754","75.0941804744857","80.6549346760941","81.1973639785702","80.1154929826254","76.1690387760447","65.1109123049012","60.9941603322551","",
"United Arab Emirates","ARE","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","67.5684483545693","66.9995565351345","59.0676375239488","60.9710740387436","66.0307898595852","70.4515636174662","64.9174480820307","60.5284308684678","58.8599156118143","56.0563185363279","57.4554254776728","50.2657170142929","53.8849778017354","56.6826129400457","66.5766374541776","68.524675889859","74.0647837757863","77.7408624291856","83.7992167713026","82.9226170971343","79.3105309084505","92.2871009660101","94.5336204379133","87.7782340256338","80.7558871869821","81.3170871368212","82.9599486811171","86.3400989170593","95.868342148022","110.319428147766","111.806260457308","110.592688836774","120.632376450992","131.9321762309","134.886043258158","130.743562006547","143.912204536066","153.407797844609","158.288115889825","155.01081145256","139.963994986719","140.762574729075","",
"Argentina","ARG","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","10.5212121044739","12.8381355286096","9.71519536057352","9.49736435145393","9.49163444136544","10.5537992569646","9.59682906424172","10.2001886870179","10.9776371163687","10.8385499081974","11.0727548458767","10.4588535090081","10.444418260399","13.1731085253861","13.5805509431082","17.2827177798101","17.6182753580687","20.9523639411004","24.1184199893939","23.6066921871369","15.3746725069663","11.8677688070133","16.0471345766615","13.8096132232416","10.4349917948954","10.9606853147716","11.4550072026123","17.9835044908018","11.6227270539489","10.6752064512818","11.8480544755874","12.6306426385834","14.44453076445","15.9240093515624","17.4804496421547","19.4018281835286","19.3495027985613","17.2264683993891","18.1190431160743","17.4408510709564","35.4467669076716","34.0160118326352","34.629914176135","34.7392116181096","34.7002711144739","34.9475262811163","35.258516452524","28.3677389770692","29.5022922224127","29.8720046265027","27.0991531200985","27.2460236016195","25.390880613013","19.9320011521232","20.7785271046465","",
"Armenia","ARM","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.3822361349606","64.3593838863221","71.7609460316281","68.6187983110639","59.3010678787434","55.9203448494024","61.5203156082188","57.4471764388922","62.8009085252927","70.0056035090054","57.9766024751023","56.6394657710091","49.7568185330732","48.011678780957","47.0183575459144","46.6157433556433","51.772812955582","54.0281980672247","53.123928596081","53.5603860550208","50.9986941805789","44.7678274532335","47.9101122230699","",
"American Samoa","ASM","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172.626459143969","205.559772296015","204.94140625","174.950298210736","202.459677419355","152.076923076923","160.674955595027","142.40412979351","118.211805555556","112.282229965157","126.919720496894","118.91903276131","113.53032659409","100.910470409712","101.823708206687","",
"Antigua and Barbuda","ATG","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","99.359017248993","78.5167540339405","103.593727876831","89.7809243997274","102.136243285175","97.3417807371882","70.8230418282959","71.9863449902036","75.9575867347707","78.1572387451791","78.8908183807478","66.9781038553615","47.4025696142945","60.0693312289184","71.6203994273136","75.508558934842","71.939384061845","65.4870411752128","69.1171507797092","63.5916872497586","59.9455983899579","57.8407464677302","58.9925128717419","55.2906283956189","53.3256566096123","53.8904667302423","54.6277998621534","55.5621683417989","57.6213085960129","60.3438373278088","60.0585368567237","59.0601572961173","47.7578572402927","47.458540303082","42.6074177207908","45.8395769416985","47.9522133667915","49.2949853160406","38.5892924437242","39.8339768810839","",
"Australia","AUS","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","25.3427199975907","24.0581125113895","24.5880221890995","25.9230860368328","26.7847299152542","26.0671951859201","24.8575503242223","24.3316975775872","24.1440930928153","23.8901828582776","23.7889903798704","23.1065540204244","22.0931840503201","26.5777010164316","25.8670884239842","23.2912726161884","24.220913360392","24.3760286070946","25.3226689656486","27.3409418333207","29.5841950135292","26.9743762230598","24.7619879850496","23.4630550992272","25.3379913603879","26.8702499574975","26.7020686902797","29.5385910512431","29.3593810411499","27.3580130742376","26.2460480407613","25.6087218012536","26.599013289319","28.267504031995","31.2338266518268","31.0522703214754","31.2896770758198","29.5351057881079","30.1474156336848","32.1827375845411","32.5912228294143","33.5906695352401","34.8986303876281","34.1566447310149","31.9483115712365","33.3511303711458","35.1391148733747","35.9225898832855","36.721016843526","34.4923412724414","36.2482837966934","37.0667284581713","33.6508165291428","31.5931441367071","32.7604607909732","29.4634284632929","32.1503996786867","",
